subj	session	variance	catAss	ticks	feedType	phase	trial	length	tarCat	respSE	respRT	respACC	move
112101	2	1	1	2	1	1	7	42	D	A	756	0	13
112101	2	1	1	2	1	1	8	32	A	D	523	0	13
112101	2	1	1	2	1	1	9	34	D	D	483	1	13
112101	2	1	1	2	1	1	10	24	A	A	594	1	13
112101	2	1	1	2	1	1	11	41	D	D	331	1	13
112101	2	1	1	2	1	1	12	46	A	D	379	0	13
112101	2	1	1	2	1	1	13	47	D	D	498	1	13
112101	2	1	1	2	1	1	14	24	A	A	532	1	13
112101	2	1	1	2	1	1	15	32	D	A	554	0	13
112101	2	1	1	2	1	1	16	39	A	D	595	0	13
112101	2	1	1	2	1	1	17	49	D	D	315	1	13
112101	2	1	1	2	1	1	18	23	A	A	451	1	13
112101	2	1	1	2	1	1	19	46	D	D	282	1	13
112101	2	1	1	2	1	1	20	40	D	D	308	1	13
112101	2	1	1	2	1	1	21	37	D	A	283	0	13
112101	2	1	1	2	1	1	22	36	A	D	392	0	13
112101	2	1	1	2	1	1	23	43	D	A	300	0	13
112101	2	1	1	2	1	1	24	37	D	D	251	1	13
112101	2	1	1	2	1	1	25	30	D	A	794	0	13
112101	2	1	1	2	1	1	26	23	D	D	619	1	13
112101	2	1	1	2	1	1	27	26	A	D	500	0	13
112101	2	1	1	2	1	1	28	26	D	A	291	0	13
112101	2	1	1	2	1	1	29	27	D	D	539	1	13
112101	2	1	1	2	1	1	30	50	D	A	387	0	13
112101	2	1	1	2	1	1	31	6	A	A	667	1	13
112101	2	1	1	2	1	1	32	35	D	D	586	1	13
112101	2	1	1	2	1	1	33	34	D	D	682	1	13
112101	2	1	1	2	1	1	34	23	D	D	420	1	13
112101	2	1	1	2	1	1	35	15	A	A	354	1	13
112101	2	1	1	2	1	1	36	41	A	D	468	0	13
112101	2	1	1	2	1	1	37	28	A	D	450	0	13
112101	2	1	1	2	1	1	38	37	D	D	315	1	13
112101	2	1	1	2	1	1	39	18	D	A	498	0	13
112101	2	1	1	2	1	1	40	14	A	D	788	0	13
112101	2	1	1	2	1	1	41	40	A	D	475	0	13
112101	2	1	1	2	1	1	42	28	A	A	483	1	13
112101	2	1	1	2	1	1	43	19	D	A	474	0	13
112101	2	1	1	2	1	1	44	37	A	D	363	0	13
112101	2	1	1	2	1	1	45	19	A	A	635	1	13
112101	2	1	1	2	1	1	46	47	A	A	559	1	13
112101	2	1	1	2	1	1	47	26	A	A	595	1	13
112101	2	1	1	2	1	1	48	23	A	D	451	0	13
112101	2	1	1	2	1	1	49	32	D	D	475	1	13
112101	2	1	1	2	1	1	50	38	D	A	499	0	13
112101	2	1	1	2	1	1	51	31	A	D	395	0	13
112101	2	1	1	2	1	1	52	21	A	A	315	1	13
112101	2	1	1	2	1	1	53	7	A	A	626	1	13
112101	2	1	1	2	1	1	54	27	D	A	716	0	13
112101	2	1	1	2	1	1	55	31	D	D	443	1	13
112101	2	1	1	2	1	1	56	29	A	D	219	0	13
112101	2	1	1	2	1	1	57	32	A	A	315	1	13
112101	2	1	1	2	1	1	58	17	A	A	291	1	13
